TABLE 49.  PERSONS NATURALIZED BY SELECTED COUNTRY OR BIRTH AND STATE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,
FISCAL YEAR 1999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,All,"China,",,,Dominican,El,,,,,,,,,,Soviet,,,,
New York,"104,048","5,501","2,413",544,"11,507","1,463",739,"7,193","3,050","1,031","11,744","1,584","1,043","1,784","2,032","2,703",676,"3,873","1,160","44,008"
North Carolina,"3,427",113,50,20,21,65,16,8,330,68,64,130,453,116,41,37,69,24,409,"1,393"
North Dakota,80,1,1,-,1,2,-,-,2,1,1,7,14,10,1,1,-,-,2,36
Ohio,"5,509",596,39,7,13,12,19,8,534,74,64,111,174,166,117,262,117,364,363,"2,469"
Oklahoma,"3,198",67,26,11,6,19,41,5,234,140,8,72,"1,037",116,8,-,29,10,625,744
Oregon,"5,165",327,17,10,1,56,41,3,122,111,4,156,"1,209",197,40,12,67,137,"1,013","1,642"
Pennsylvania,"14,094","1,143",195,51,245,38,48,201,"1,440",156,512,581,284,348,416,378,155,"1,078","1,622","5,203"
Rhode Island,"2,884",111,178,7,487,22,143,48,49,16,22,23,26,37,52,40,9,46,32,"1,536"
South Carolina,"1,093",53,33,6,5,9,6,2,135,15,22,30,82,77,11,18,13,6,118,452
South Dakota,14,2,-,-,-,-,1,-,-,-,-,2,-,-,-,-,1,1,2,5
Tennessee,"2,617",157,20,9,11,27,13,10,227,77,13,92,235,99,22,20,26,25,336,"1,198"
Texas,"58,849","1,279",436,135,57,"2,146",490,28,"2,187",728,200,537,"35,683","1,218",115,221,656,96,"4,286","8,351"
Utah,"2,296",168,23,3,10,50,19,2,31,36,1,38,536,53,13,78,38,9,307,881
Vermont,126,9,2,1,-,-,-,1,7,1,-,-,1,1,-,4,5,-,12,82
Virginia,"11,808",541,118,30,43,829,145,31,695,505,113,833,243,819,47,122,204,32,"1,474","4,984"
Washington,"11,174",933,34,13,9,72,34,9,377,156,28,696,"1,151","1,021",103,87,259,260,"2,166","3,766"
West Virginia,307,27,1,1,1,-,1,-,45,13,8,6,12,22,3,1,5,1,7,153
Wisconsin,"3,132",71,11,6,7,18,9,2,148,39,22,34,548,66,69,302,33,8,140,"1,599"
Wyoming,151,12,2,-,-,-,1,-,7,1,2,5,73,10,2,1,-,-,-,35
U.S. territories and,,,,,,,,,,,,,,,,,,,,
      possessions:,,,,,,,,,,,,,,,,,,,,
Guam,780,22,-,-,-,-,1,1,3,-,2,53,9,591,2,-,18,-,5,73
Northern Marina Islands,27,1,-,-,-,-,-,-,1,-,-,-,-,21,-,-,1,-,-,3
Puerto Rico,"2,202",25,106,224,"1,373",14,9,2,9,-,-,2,47,3,-,-,-,-,-,388
U.S. Virgin Islands,"1,593",2,-,-,101,-,-,8,35,-,12,-,-,4,-,-,-,-,2,"1,429"
Unknown,"99,486","4,487","2,644","6,532","4,588","1,634",698,"3,107","4,743",911,"4,739","1,587","22,298","4,381","1,858","2,466",931,462,"3,393","28,027"
,,,,,,,,,,,,,,,,,,,,
-  Represents zero.,,,,,,,,,,,,,,,,,,,,
