TABLE 52.  PERSONS NATURALIZED BY SELECTED COUNTRY OR BIRTH AND STATE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,
FISCAL YEAR 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,All ,"China,",,,Dominican,El,,,,,,,,,,,,United,,
Texas,"55,800","2,239",528,152,89,"2,482",46,"3,067",913,263,810,"25,502","1,529",168,133,860,556,231,"5,521","10,711"
Utah,793,46,12,-,8,9,-,25,17,-,20,128,23,5,9,19,8,4,120,340
Vermont,348,30,2,-,1,1,1,15,5,1,9,3,8,3,5,5,1,1,35,222
Virginia,"12,507",678,115,24,60,759,30,848,646,99,828,277,657,58,65,170,121,37,"1,524","5,511"
Washington,"14,499","1,019",47,10,14,73,16,604,216,26,"1,024","1,145","1,413",136,392,326,46,94,"2,671","5,227"
West Virginia,47,9,-,-,-,1,-,8,3,-,-,-,7,-,-,-,-,-,-,19
Wisconsin,"4,236",394,33,6,7,25,2,314,52,38,44,565,120,110,112,46,11,141,158,"2,058"
Wyoming,191,14,1,-,-,1,-,7,1,-,2,82,10,4,2,2,1,-,3,61
U.S. territories and possessions:,,,,,,,,,,,,,,,,,,,,
Guam,76,3,-,-,-,-,-,-,-,-,7,-,62,-,-,-,-,-,1,3
Puerto Rico,539,20,28,57,305,4,4,3,-,3,-,11,-,-,-,-,1,-,2,101
U.S. Virgin Islands,344,-,-,-,31,-,-,13,-,7,-,-,1,1,-,-,-,-,1,290
Unknown,"76,485","3,891","1,236","1,046","2,511","1,334",924,"3,994","1,162","1,441","1,816","22,527","4,255","1,203",501,736,631,"1,351","3,077","22,849"
,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
